N,L,r,steps,config,machine,time
1000,20000.0,1.0,1000,fmad,TeslaT4,1.1556742410000005
1000,20000.0,1.0,1000,nofmad,TeslaT4,1.1412681409999998
12000,20000.0,1.0,1000,fmad,TeslaT4,8.576093999999996
4000,20000.0,1.0,1000,fmad,TeslaT4,2.608987595999999
4000,20000.0,1.0,1000,nofmad,TeslaT4,2.5773958420000014
6000,20000.0,1.0,1000,fmad,TeslaT4,4.321429000000001
6000,20000.0,1.0,1000,nofmad,TeslaT4,4.3279570000000005
8000,20000.0,1.0,1000,fmad,TeslaT4,4.889084
8000,20000.0,1.0,1000,nofmad,TeslaT4,5.101002000000002
2000,20000.0,1.0,1000,nofmad,TeslaT4,1.547947134000001
24000,20000.0,1.0,1000,fmad,TeslaT4,23.85081
24000,20000.0,1.0,1000,nofmad,TeslaT4,23.946654
3000,20000.0,1.0,1000,fmad,TeslaT4,2.212574033
12000,20000.0,1.0,1000,nofmad,TeslaT4,8.368642
16000,20000.0,1.0,1000,fmad,TeslaT4,12.116451000000001
16000,20000.0,1.0,1000,nofmad,TeslaT4,12.174861999999997
2000,20000.0,1.0,1000,fmad,TeslaT4,1.5934772879999992
3000,20000.0,1.0,1000,nofmad,TeslaT4,2.16734333
32000,20000.0,1.0,1000,fmad,TeslaT4,39.86010799999999
32000,20000.0,1.0,1000,nofmad,TeslaT4,40.04279199999999
1000,20000.0,1.0,1000,fmad,TitanRTX,1.1705495830000001
1000,20000.0,1.0,1000,nofmad,TitanRTX,1.1761194740000003
12000,20000.0,1.0,1000,fmad,TitanRTX,6.543336
4000,20000.0,1.0,1000,fmad,TitanRTX,2.49292114
4000,20000.0,1.0,1000,nofmad,TitanRTX,2.548827548
6000,20000.0,1.0,1000,fmad,TitanRTX,4.1327700000000025
6000,20000.0,1.0,1000,nofmad,TitanRTX,4.001271
2000,20000.0,1.0,1000,nofmad,TitanRTX,1.8471243910000001
24000,20000.0,1.0,1000,fmad,TitanRTX,14.853461
24000,20000.0,1.0,1000,nofmad,TitanRTX,14.854004999999999
8000,20000.0,1.0,1000,fmad,TitanRTX,4.652420000000001
8000,20000.0,1.0,1000,nofmad,TitanRTX,4.995549
2000,20000.0,1.0,1000,fmad,TitanRTX,1.8315247579999996
12000,20000.0,1.0,1000,nofmad,TitanRTX,6.675637000000002
16000,20000.0,1.0,1000,fmad,TitanRTX,7.738810000000001
16000,20000.0,1.0,1000,nofmad,TitanRTX,8.188006999999997
3000,20000.0,1.0,1000,fmad,TitanRTX,2.1942928950000002
3000,20000.0,1.0,1000,nofmad,TitanRTX,2.1755485400000003
32000,20000.0,1.0,1000,fmad,TitanRTX,23.806927
32000,20000.0,1.0,1000,nofmad,TitanRTX,23.645922
1000,20000.0,1.0,1000,fmad,TitanV,1.4758042449999997
1000,20000.0,1.0,1000,nofmad,TitanV,1.4428383560000007
12000,20000.0,1.0,1000,fmad,TitanV,10.663164000000002
12000,20000.0,1.0,1000,nofmad,TitanV,10.737072999999997
16000,20000.0,1.0,1000,fmad,TitanV,15.856730999999998
16000,20000.0,1.0,1000,nofmad,TitanV,15.665072999999996
24000,20000.0,1.0,1000,nofmad,TitanV,33.12072599999999
3000,20000.0,1.0,1000,fmad,TitanV,2.5036264200000007
3000,20000.0,1.0,1000,nofmad,TitanV,2.391442941999999
32000,20000.0,1.0,1000,fmad,TitanV,56.68217999999998
32000,20000.0,1.0,1000,nofmad,TitanV,56.73626599999998
4000,20000.0,1.0,1000,fmad,TitanV,2.929489984
4000,20000.0,1.0,1000,nofmad,TitanV,2.9189866230000003
6000,20000.0,1.0,1000,fmad,TitanV,4.623327000000001
2000,20000.0,1.0,1000,fmad,TitanV,1.8132486150000005
2000,20000.0,1.0,1000,nofmad,TitanV,1.6817994499999998
24000,20000.0,1.0,1000,fmad,TitanV,33.038433999999995
6000,20000.0,1.0,1000,nofmad,TitanV,4.6475859999999996
8000,20000.0,1.0,1000,fmad,TitanV,6.231689000000003
8000,20000.0,1.0,1000,nofmad,TitanV,6.150741
