"N","L","r","steps","threads","gridSize","machine","wall.clock.time","task.clock","context.switches","cycles","instructions","branches","branch.misses","parTime","seqTime","speedup"
2000,20000,1,1000,1,16,"7700K",128.346309112,128343.773395,58,537205884688,768760750282,67985036757,3489125081,194.582323645,192.820017132,1.50234173827108
2000,20000,1,1000,10,16,"7700K",30.352414988,240267.291562,139839,768170190255,769811701444,68198148989,3556209401,33.979461953,192.820017132,6.35270759207241
2000,20000,1,1000,12,16,"7700K",30.348775133,239843.444194,174079,766463438923,770011911066,68238889315,3553081786,34.772676422,192.820017132,6.35346949875204
2000,20000,1,1000,16,16,"7700K",30.30177856,239300.323047,252084,773888112409,770485610491,68334856855,3560267579,33.941017515,192.820017132,6.36332341846537
2000,20000,1,1000,19,16,"7700K",30.712551659,242291.135141,305982,771192076801,770823458818,68402959956,3562395686,34.13834959,192.820017132,6.27821547596799
2000,20000,1,1000,2,16,"7700K",68.030160429,136025.014482,50,539588349947,768768624121,67992072523,3490437335,99.836064554,192.820017132,2.83433136003314
2000,20000,1,1000,20,16,"7700K",30.429977865,240099.778912,322973,781401965166,770926022952,68423686927,3560415978,34.85686451,192.820017132,6.3365151952272
2000,20000,1,1000,21,16,"7700K",29.726365624,234498.475823,340938,774780947120,771031520559,68445209378,3559174553,34.167566589,192.820017132,6.48649820065202
2000,20000,1,1000,24,16,"7700K",30.506211641,240446.574695,395527,773700473549,771388583735,68516940167,3564630644,34.959673767,192.820017132,6.32068050274889
2000,20000,1,1000,28,16,"7700K",30.403796232,239438.59994,465381,775666560542,771821880199,68604550216,3566551124,34.430326712,192.820017132,6.34197176104795
2000,20000,1,1000,32,16,"7700K",30.477539758,239854.755358,534226,776734241168,772270856186,68694801587,3563977758,35.16527768,192.820017132,6.32662671144205
2000,20000,1,1000,4,16,"7700K",40.089259112,160251.492951,107,542491527425,768836498786,68011238442,3493564629,51.959363332,192.820017132,4.80976753881398
2000,20000,1,1000,40,16,"7700K",30.564606711,240140.525637,667723,780320527642,773133634635,68868598095,3572217370,34.663909361,192.820017132,6.30860455543193
2000,20000,1,1000,6,16,"7700K",33.882164658,203113.593862,790,675398483159,768941624357,68036740540,3523928954,42.362891067,192.820017132,5.69090018534199
2000,20000,1,1000,64,16,"7700K",31.48062573,244786.985824,1058452,793338028301,775709206614,69386240724,3582570209,35.100505005,192.820017132,6.12503762745252
2000,20000,1,1000,7,16,"7700K",31.446275202,219908.01131,924,732034413179,768992556472,68049507346,3528457848,37.118043415,192.820017132,6.13172834917302
2000,20000,1,1000,8,16,"7700K",30.007804627,239814.782995,400,766806289072,769051842773,68065394670,3550497422,33.511003613,192.820017132,6.42566224116599
2000,20000,1,1000,9,16,"7700K",30.251310626,239652.435734,126880,765478350798,769720349310,68180326961,3555916232,33.704767896,192.820017132,6.37393928203156
2000,20000,1,1000,1,16,"XeS4114",184.098357173,184097.189519,48,530334572278,768793642406,67991532589,3491672419,278.367902579,278.44652389,1.51248782534403
2000,20000,1,1000,10,16,"XeS4114",24.700742949,246403.022236,87,540711243380,769121143177,68088766234,3507969083,37.12181928,278.44652389,11.2727995455405
2000,20000,1,1000,12,16,"XeS4114",23.061842914,275933.446768,713,605565004133,769265477721,68126420090,3520079842,31.976795242,278.44652389,12.0739060155928
2000,20000,1,1000,16,16,"XeS4114",19.997378618,318998.554139,571,699993124478,769475137961,68182817770,3533804710,25.154869456,278.44652389,13.9241512204687
2000,20000,1,1000,19,16,"XeS4114",18.356043154,347704.690114,494,762989181271,769637985318,68226272604,3548592795,21.745337283,278.44652389,15.169201856519
2000,20000,1,1000,2,16,"XeS4114",93.7248947,187371.960149,65,535382722616,768800254170,67999194969,3501181259,141.064834606,278.44652389,2.97089182955358
2000,20000,1,1000,20,16,"XeS4114",17.809952038,354960.124625,445,779199546529,769833449916,68281567300,3548996606,20.932321514,278.44652389,15.6343219395479
2000,20000,1,1000,21,16,"XeS4114",18.117831324,349123.283227,288741,765202226113,770757777953,68401081335,3565709529,21.116180058,278.44652389,15.3686453367712
2000,20000,1,1000,24,16,"XeS4114",18.202389628,349347.267044,340991,765671217420,771107536460,68474265594,3568292490,21.259515911,278.44652389,15.2972510522287
2000,20000,1,1000,28,16,"XeS4114",18.337187277,350138.529992,405877,767296690406,771512612662,68559364074,3572941205,21.412151822,278.44652389,15.1848001377643
2000,20000,1,1000,32,16,"XeS4114",18.466321672,351108.117408,479778,769272633322,771963165903,68653343371,3573552879,21.543190771,278.44652389,15.0786133175727
2000,20000,1,1000,4,16,"XeS4114",51.299734071,204971.306782,65,542243138944,768871477767,68020324801,3511471908,76.432358063,278.44652389,5.4278356200565
2000,20000,1,1000,40,16,"XeS4114",18.652984398,352651.877321,612786,772498850442,772810721643,68830257087,3577506979,21.783111676,278.44652389,14.9277197658438
2000,20000,1,1000,6,16,"XeS4114",39.877933319,238910.915191,89,547994926349,768968440352,68046150841,3513601432,58.996182335,278.44652389,6.98247127459168
2000,20000,1,1000,64,16,"XeS4114",19.249127887,357949.921914,1020613,783445305530,775345228856,69361559864,3594957033,22.344047346,278.44652389,14.4654098369854
2000,20000,1,1000,7,16,"XeS4114",33.829085764,236354.432333,105,541951053338,769002847059,68056185159,3512202608,50.594846531,278.44652389,8.23097986840411
2000,20000,1,1000,8,16,"XeS4114",29.58530378,236191.783196,163,539670197945,769041114319,68066950832,3508695725,44.336820682,278.44652389,9.4116499854307
2000,20000,1,1000,9,16,"XeS4114",27.441205235,246374.011925,90,540632029453,769085514099,68078840856,3511423201,41.043333001,278.44652389,10.1470223886105
